blog_title,contribution_pk,description,id,jsondata,markup_description,name,ordinal_qualifier,pk,representation
,81,,81A,{},,"Order of Subject, Object and Verb",A,81,1377
,81,,81B,{},,"Languages with two Dominant Orders of Subject, Object, and Verb",B,168,67
,82,,82A,{},,Order of Subject and Verb,A,82,1497
,83,,83A,{},,Order of Object and Verb,A,83,1519
,84,,84A,{},,"Order of Object, Oblique, and Verb",A,84,500
,85,,85A,{},,Order of Adposition and Noun Phrase,A,85,1183
,86,,86A,{},,Order of Genitive and Noun,A,86,1249
,87,,87A,{},,Order of Adjective and Noun,A,87,1366
,88,,88A,{},,Order of Demonstrative and Noun,A,88,1224
,89,,89A,{},,Order of Numeral and Noun,A,89,1153
,90,,90A,{},,Order of Relative Clause and Noun,A,90,824
,90,,90B,{},,Prenominal relative clauses,B,144,191
,90,,90C,{},,Postnominal relative clauses,C,146,620
,90,,90D,{},,Internally-headed relative clauses,D,165,63
,90,,90E,{},,Correlative relative clauses,E,154,23
,90,,90F,{},,Adjoined relative clauses,F,171,10
,90,,90G,{},,Double-headed relative clauses,G,153,5
,91,,91A,{},,Order of Degree Word and Adjective,A,91,481
,92,,92A,{},,Position of Polar Question Particles,A,92,884
,93,,93A,{},,Position of Interrogative Phrases in Content Questions,A,93,902
,94,,94A,{},,Order of Adverbial Subordinator and Clause,A,94,659
,95,,95A,{},,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,A,95,1142
,96,,96A,{},,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,A,96,879
,97,,97A,{},,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,A,97,1316
,143,,143A,{},,Order of Negative Morpheme and Verb,A,172,1324
,143,,143B,{},,Obligatory Double Negation,B,158,119
,143,,143C,{},,Optional Double Negation,C,170,81
,143,,143D,{},,Optional Triple Negation,D,181,6
,143,,143E,{},,Preverbal Negative Morphemes,E,169,1324
,143,,143F,{},,Postverbal Negative Morphemes,F,143,1324
,143,,143G,{},,Minor morphological means of signaling negation,G,180,1324
,144,,144A,{},,"Position of Negative Word With Respect to Subject, Object, and Verb",A,152,1189
,144,,144B,{},,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,B,163,609
,144,,144C,{},,Languages with different word order in negative clauses,C,178,28
,144,,144D,{},,The Position of Negative Morphemes in SVO Languages,D,167,463
,144,,144E,{},,Multiple Negative Constructions in SVO Languages,E,166,48
,144,,144F,{},,Obligatory Double Negation in SVO languages,F,164,56
,144,,144G,{},,Optional Double Negation in SVO languages,G,161,35
,144,,144H,{},,NegSVO Order,H,177,420
,144,,144I,{},,SNegVO Order,I,156,421
,144,,144J,{},,SVNegO Order,J,148,446
,144,,144K,{},,SVONeg Order,K,162,446
,144,,144L,{},,The Position of Negative Morphemes in SOV Languages,L,176,572
,144,,144M,{},,Multiple Negative Constructions in SOV Languages,M,159,54
,144,,144N,{},,Obligatory Double Negation in SOV languages,N,149,45
,144,,144O,{},,Optional Double Negation in SOV languages,O,174,31
,144,,144P,{},,NegSOV Order,P,147,408
,144,,144Q,{},,SNegOV Order,Q,175,408
,144,,144R,{},,SONegV Order,R,157,411
,144,,144S,{},,SOVNeg Order,S,150,489
,144,,144T,{},,The Position of Negative Morphemes in Verb-Initial Languages,T,179,152
,144,,144U,{},,Double negation in verb-initial languages,U,160,17
,144,,144V,{},,Verb-Initial with Preverbal Negative,V,155,152
,144,,144W,{},,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,W,173,151
,144,,144X,{},,Verb-Initial with Clause-Final Negative,X,151,151
,144,,144Y,{},,The Position of Negative Morphemes in Object-Initial Languages,Y,145,16
